ID	Idx	GroupID	State	Type	Text	Name	Date	Codes	Memos	MemoID	Author	Size	DocType	MediaFileX	ScaleFactor	CodesWndWidth	ScrollPosPage	ScrollPosX	ScrollPosY	SelPage	SelX1	SelY1	SelX2	SelY2	ExtLink1	ExtLink2	ExtLink3	RIS-TY	RIS-AU	RIS-TI	RIS-ID	RIS-PY	Data	CodTemp	Data2	PlainTextWin	PlainTextMac	GeoLinkID	Color	LastChgUser	LastChgDate
31	305	0	1	0	BLOB	BA-Kita-Brueckenjahr_16-04-22_04-10-06_SB20	2018-01-18T12:05:37.214	7	0	0	anonymous	227180	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:38.249
32	306	0	1	0	BLOB	BA-Klassenfuehrungskompetenz_14-05-19_08-03-18_SB01	2018-01-18T12:05:38.181	7	0	0	anonymous	366046	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:38.336
33	307	0	1	0	BLOB	BA-Kunst_15-12-17_10-07-01_SB01	2018-01-18T12:05:38.692	17	0	0	anonymous	14209	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:38.395
34	308	0	1	0	BLOB	BA-Laermbelaestigung_16-02-19_06-21-00	2018-01-18T12:05:38.748	5	0	0	anonymous	4288435	1		656.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-02-07T21:25:12.702
35	309	0	1	0	BLOB	BA-Literatur_15-06-14_05-04-16_SB01	2018-01-18T12:05:39.012	0	0	0	anonymous	62982	1		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-18T18:34:20.514
36	310	0	1	0	BLOB	BA-Literatur-Einleitung_15-08-14_05-04-16_SB01	2018-01-18T12:05:39.048	1	0	0	anonymous	81226	1		656.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-02-07T21:27:10.588
37	311	0	1	0	BLOB	BA-Literatur-Handlungsorte_15-07-23_05-04-16_SB01	2018-01-18T12:05:39.085	0	0	0	anonymous	89503	1		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-18T18:34:20.875
38	312	0	1	0	BLOB	BA-Literatur-Protagonistinnen_15-08-15_05-04-16_SB01	2018-01-18T12:05:39.119	0	0	0	anonymous	80020	1		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-18T18:34:21.058
39	313	0	1	0	BLOB	BA-Literatur-Zusammenfassung_15-08-15_05-04-16_SB01	2018-01-18T12:05:39.155	0	0	0	anonymous	85275	1		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-18T18:34:21.176
40	314	0	1	0	BLOB	BA-Medien_16-01-05_27-17-53_SB02	2018-01-18T12:05:39.655	0	0	0	anonymous	27217	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:30.983
41	315	0	1	0	BLOB	BA-Mediennutzung_16-04-28_27-17-53_SB02	2018-01-18T12:05:40.224	0	0	0	anonymous	19890	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:31.034
42	316	0	1	0	BLOB	BA-Paedagogik_14-12-01_04-13-10_SB02	2018-01-18T12:05:40.749	0	0	0	anonymous	30409	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:31.091
43	317	0	1	0	BLOB	BA-Paedagogik-Freires-1_15-01-11_04-13-10_SB02	2018-01-18T12:05:41.596	6	0	0	anonymous	90859	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:38.454
44	318	0	1	0	BLOB	BA-TSC_14-09-08_03-14-18_WB50	2018-01-18T12:05:42.583	1	0	0	anonymous	159966	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:38.544
45	0	1	1	0	BLOB	BA-Twi-in-Kirchen_15-01-19_10-08-86_SB11	2018-01-18T12:05:44.071	280	0	0	anonymous	519447	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-28T07:57:43.748
46	1	1	1	0	BLOB	Bachelorarbeit_13-08-05_28-17-44_SB01	2018-01-18T12:05:44.717	29	0	0	anonymous	109365	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-28T07:57:42.702
47	2	1	1	0	BLOB	Beobachtungsaufgabe-Unterricht_16-06-10_01-12-23_SB28	2018-01-18T12:05:45.272	0	0	0	anonymous	3357	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-28T07:57:41.562
